ID,Grade,Skill Title,Description,CSTA,Num Dependencies,Internal Deps,External Deps,All Dependencies
T01.GK.01,GK,Put pictures in order for getting ready for bed,"**Student task:** Look at 3 pictures. Put them in order: first, next, last. **Example:** Put on pajamas, brush teeth, get in bed. _Implementation note: Drag‑drop sequence (3 items). CSTA: EK‑ALG‑AF‑01.__",EK‑ALG‑AF‑01,0,0,0,
T01.GK.02,GK,Put pictures in order for coming to class,"**Student task:** Look at 4 pictures. Put them in the right order. **Example:** Come in, hang up backpack, sit down, listen. _Implementation note: Drag‑drop 4 items. CSTA: EK‑ALG‑AF‑01.__",EK‑ALG‑AF‑01,0,0,0,
T01.GK.03,GK,Find the first and last pictures,**Student task:** Look at pictures in order. Touch the first picture. Touch the last picture. _Implementation note: Click first/last pictures. CSTA: EK‑ALG‑AF‑01.__,EK‑ALG‑AF‑01,1,1,0,* T01.GK.01: Put pictures in order for getting ready for bed
T01.GK.04,GK,Pick the pictures that make sense,"**Student task:** Look at two sets of pictures. Which one makes sense? **Example:** Wash hands → dry hands → eat vs eat → wash hands → dry hands. _Implementation note: Two sequences, choose one. CSTA: EK‑ALG‑AF‑01, EK‑ALG‑IM‑04.__","EK‑ALG‑AF‑01, EK‑ALG‑IM‑04",1,1,0,* T01.GK.01: Put pictures in order for getting ready for bed
T01.GK.05,GK,Move the picture that's in the wrong place,"**Student task:** Look at the pictures. One picture is in the wrong place. Move it to the right place. _Implementation note: Drag the ""wrong"" card into correct position. CSTA: EK‑ALG‑AF‑01, EK‑ALG‑PS‑03.__","EK‑ALG‑AF‑01, EK‑ALG‑PS‑03",1,1,0,* T01.GK.03: Find the first and last pictures
T01.GK.06,GK,What comes next?,"**Student task:** Look at the first two pictures. What should come last? _Implementation note: MCQ, choose final picture. CSTA: EK‑ALG‑AF‑01.__",EK‑ALG‑AF‑01,1,1,0,* T01.GK.01: Put pictures in order for getting ready for bed
T01.GK.07,GK,Find the pattern that repeats,"**Student task:** Watch the actions. Which two actions happen over and over? **Example:** hop–clap–hop–clap _Implementation note: Visual pattern MCQ. CSTA: EK‑ALG‑AF‑01, EK‑ALG‑PS‑03.__","EK‑ALG‑AF‑01, EK‑ALG‑PS‑03",1,1,0,* T01.GK.03: Find the first and last pictures
T01.GK.08,GK,Count how many times,"**Student task:** Watch the character perform a repeated action (e.g., jump, clap, spin). Count how many times by selecting from picture‑based answer choices that show the actions performed 1, 2, 3, or 4 times (using pictures of action sequences, not numerals, to support non‑readers). _Implementation note: Short animation (2–4 seconds) + picture‑based count choices with visual representations of quantities. CSTA: EK‑ALG‑AF‑01.__",EK‑ALG‑AF‑01,1,1,0,* T01.GK.07: Find the pattern that repeats
T01.G1.01,G1,Put pictures in order to plant a seed,"**Student task:** Look at 4 pictures. Put them in the right order to plant a seed. **Example:** Get pot, add soil, put seed in, water it. _Implementation note: Drag‑drop (4 items). CSTA: E1‑ALG‑AF‑01.___",E1‑ALG‑AF‑01,1,1,0,* T01.GK.02: Put pictures in order for coming to class
T01.G1.02,G1,Put pictures in order to make breakfast,"**Student task:** Look at 5 pictures. Put them in the right order to make breakfast. **Example:** Get bowl, pour cereal, pour milk, eat, wash bowl. _Implementation note: Drag‑drop (5 items). CSTA: E1‑ALG‑AF‑01.___",E1‑ALG‑AF‑01,0,0,0,
T01.G1.03,G1,Add a missing last step to a routine,"Students see a 3‑step routine about a familiar everyday task (e.g., making a sandwich: get bread, add peanut butter, add jelly) and choose the correct 4th step from picture options (eat, clean up, put away ingredients). _Implementation note: MCQ picture choice with 3–4 plausible options; contexts include meal prep, getting ready, classroom routines. CSTA: E1‑ALG‑AF‑01.__",E1‑ALG‑AF‑01,1,1,0,* T01.GK.06: What comes next?
T01.G1.04,G1,Predict the next step in a story sequence,"Students see 3 story panels showing a narrative sequence (e.g., character sees ball, walks toward ball, reaches for ball) and choose what happens next from picture options, focusing on cause‑and‑effect in stories rather than procedural routines. _Implementation note: MCQ visuals with story context (not everyday tasks). CSTA: E1‑ALG‑AF‑01, E1‑ALG‑PS‑03._","E1‑ALG‑AF‑01, E1‑ALG‑PS‑03",1,1,0,* T01.GK.06: What comes next?
T01.G1.05,G1,Find the missing step in an algorithm,"Students see a 4‑step sequence with one blank and choose which picture fills the gap. _Implementation note: Click‑select from options. CSTA: E1‑ALG‑AF‑01, E1‑ALG‑PS‑03._","E1‑ALG‑AF‑01, E1‑ALG‑PS‑03",1,1,0,* T01.G1.03: Add a missing last step to a routine
T01.G1.06,G1,Fix a routine with one wrong step,"Students identify a clearly wrong step (e.g., “eat” before “cook”) and replace it with a correct picture. _Implementation note: Select wrong step, then replacement. CSTA: E1‑ALG‑AF‑01.__",E1‑ALG‑AF‑01,1,1,0,* T01.GK.05: Move the picture that's in the wrong place
T01.G1.07,G1,Decide if two algorithms finish with the same result,"Students compare two routines and decide whether both achieve the same goal. _Implementation note: Side‑by‑side sequences with Yes/No or ""Which work?"" question. CSTA: E1‑ALG‑AF‑01, E1‑ALG‑PS‑03._","E1‑ALG‑AF‑01, E1‑ALG‑PS‑03",1,1,0,* T01.GK.04: Pick the pictures that make sense
T01.G1.08,G1,Choose the algorithm that uses fewer steps,Students pick between two correct routines that differ in length; they choose the shorter correct one. _Implementation note: Choose shorter correct sequence. CSTA: E1‑ALG‑IM‑04._,E1‑ALG‑IM‑04,1,1,0,* T01.G1.07: Decide if two algorithms finish with the same result
T01.G1.09,G1,Match an algorithm to its goal,"Students match 3–4 short picture‑based routines (4–5 steps each) to goal labels, choosing from a list of 5–6 options that include some similar or overlapping goals, requiring careful attention to the specific steps in each routine. _Implementation note: Matching lines between sequences and goals; auto‑graded. CSTA: E1‑ALG‑AF‑01.__",E1‑ALG‑AF‑01,0,0,0,
T01.G1.10,G1,"Match pictures to ""if/then"" rules","**Student task:** Look at pictures. Match them to ""If this, then that"" sentences. **Example:** ""If it rains, then use an umbrella."" _Implementation note: MCQ match picture ↔ sentence. CSTA: E1‑ALG‑AF‑01 (conceptual branching)._",E1‑ALG‑AF‑01 (conceptual branching),1,1,0,* T01.GK.04: Pick the pictures that make sense
T01.G2.01,G2,Find actions that repeat in everyday tasks,"**Student task:** Look at pictures showing an everyday task. Which action happens over and over? **Example:** In cleaning up toys, ""pick up toy"" happens many times. _Implementation note: Highlight or MCQ. CSTA: E2‑ALG‑AF‑01.__",E2‑ALG‑AF‑01,2,1,1,* T01.GK.07: Find the pattern that repeats | * T04.G1.03: Find repeated steps in an instruction list
